Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"M4 builds with flat head","To connect the 3D printed parts",1,0.93,"https://www.tokopedia.com/vsv/baut-kepala-rata-m4-stainless-steel-silverhawk-thin-flat-head-bolt-truss-head-bolt-1730804457732343381?extParam=ivf%3Dfalse%26keyword%3Dm4+sekrup+flat%26search_id%3D2026061604031158238E9AE2DD302B83HC%26src%3Dsearch&t_id=1781581442338&t_st=8&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"heat insert","To securely connect the 3D print",1,3.78,"https://www.tokopedia.com/indocart/3d-printer-tools-compatible-brass-heat-insert-nuts-double-twill-knurled-injection-copper-thread-inserts-x-30pcs-1731656093817210399?extParam=ivf%3Dfalse%26keyword%3Dheat+insert%26search_id%3D20260616040015819F46E52C2576158LQS%26src%3Dsearch&t_id=1781581442338&t_st=6&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Type C charging module","to safely recharges single-cell lithium-ion batteries",1,0.68,"https://www.tokopedia.com/awallaptop/usb-type-c-mini-modul-charge-charger-type-c-5v-4-2v-3-7v-18650-lithium?extParam=ivf%3Dfalse%26keyword%3Dtype+c+charging+module%26search_id%3D202606160351504734BA6F3DE83D284KOL%26src%3Dsearch&t_id=1781581442338&t_st=3&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Switch","To toogle on and off to some compenent",3,0.30,"https://www.tokopedia.com/indo-ware/ss12d00g3-toggle-switch-tiga-kaki-saklar-geser?extParam=src%3Dshop%26whid%3D371893&aff_unique_id=&channel=others&chain_key=","Tokopedia"
"Jumper wire male to male","To connect one part to another",2,1.41,"https://www.tokopedia.com/indo-ware/10pcs-dupont-cable-wire-male-to-male-20cm-kabel-jumper-breadboard?extParam=ivf%3Dfalse%26keyword%3Dmale+to+male+jumper+wire%26search_id%3D202606160342415B8ADD2A5D98B1102MNK%26src%3Dsearch&t_id=1781581442338&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"LED COB Lamp","To light up the clock (Can be for mirror lighting or night lamp)",1,0.80,"https://www.tokopedia.com/awallaptop/lampu-led-cob-strip-panjang-3-2v-3-3v-5w-putih-135x16mm-6w-6500k-1733418978478622489?extParam=ivf%3Dfalse%26keyword%3Dled+cob%26search_id%3D20260607030429310DCBBF4CCE62009JZN%26src%3Dsearch&t_id=1780801441643&t_st=3&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Speaker box (2x)","Producing sound",1,3.04,"https://www.tokopedia.com/mirorim/speaker-box-kotak-mini-laptop-notebook-loudspeaker-4-8-ohm-1-5-2-5-3-w-1734262320455386169?extParam=ivf%3Dfalse%26keyword%3D3w+speaker+for+notebook+computer+2535%26search_id%3D2026050504121334ED066DF378EF061WXI%26src%3Dsearch&t_id=1777952663877&t_st=9&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"3.7 V Battery","Power supply",2,1.61,"https://www.tokopedia.com/bsotactical/baterai-16340-rechargeable-cr123a-lr123a-3-7v-1300mah-batre-biru-1729527705306499143?extParam=ivf%3Dfalse%26keyword%3D3.7+volt+battery%26search_id%3D2026061604074769CB3EA317A32C03C5G6%26src%3Dsearch&t_id=1781581442338&t_st=8&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"ENS160+AHT21 Sensor","Detecting Air Quality And Temperature",1,5.04,"https://www.tokopedia.com/sellered/ens160-aht21-sensor-carbon-dioxide-co2-eco2-tvoc-air-quality-and-temperature-1731653358985839621?extParam=ivf%3Dfalse%26keyword%3Dens160%2Baht21+%26search_id%3D20260505035540432ACA3A1E345E2064OR%26src%3Dsearch&t_id=1777952663877&t_st=4&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"ESP32-C3","The main microcontroller",1,2.00,"https://www.tokopedia.com/cncstorejogja/esp32-c3-esp32-c3-usbc-esp32c3-usb-c-super-mini-esp-32-c3-development-board-wifi-bluetooth-usb-c-iot-1731317279274796032?extParam=ivf%3Dfalse%26keyword%3Desp32c3%26search_id%3D2026050503501206EB61B839A0CE03FP87%26src%3Dsearch&t_id=1777952663877&t_st=3&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"TFT Display module with rotary encoder","displaying stuff and for adjusting the alarm",1,19.15,"https://www.tokopedia.com/electrogizmo/layar-tft-lcd-1-8-inch-2-4-inch-rotary-ener-ec11-modul-display-spi-st7735s-st7789-1-8-inch-tft-lcd-1734400539686176482?extParam=ivf%3Dfalse%26keyword%3Dtft+display+module+with+rotary+encoder+%26search_id%3D20260616041109357A6FDF7642BF2B1A4M%26src%3Dsearch&t_id=1781581442338&t_st=10&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
